id	rate
20045	4.1
20047	3.3
20049	6.8
20051	3.4
20053	4.3
20055	3.5
20057	3.6
20059	4.8
20061	6.4
20063	3.0
20065	5.0
20067	3.9
20069	2.6
20071	2.7
20073	5.7
20075	3.2
20077	4.0
20079	6.3
20081	2.8
20083	2.7
20085	4.0
20087	4.1
20089	4.5
20091	3.7
20093	3.7
20095	4.8
20097	3.5
20099	6.2
20101	3.9
20103	4.5
20105	4.0
20107	7.0
20109	3.2
20111	4.3
20113	3.9
20115	5.9
20117	3.6
20119	2.9
20121	4.3
20123	3.1
20125	6.9
20127	4.3
20129	4.6
20131	3.0
20133	8.1
20135	4.1
20137	2.9
20139	4.6
20141	4.1
20143	4.5
20145	3.6
20147	3.6
20149	4.1
20151	5.0
20153	2.6
20155	5.2
20157	3.2
20159	4.8
20161	3.7
20163	5.5
20165	4.7
20167	4.6
20169	4.0
20171	2.7
20173	5.2
20175	4.9
20177	4.5
20179	2.9
20181	3.8
20183	3.7
20185	5.0
20187	3.3
20189	4.7
20191	4.9
20193	3.2
20195	4.2
20197	3.8
20199	3.3
20201	3.9
20203	2.6
20205	6.9
20207	6.9
20209	6.1
21001	6.1
21003	3.9
21005	3.6
21007	9.0
21009	4.3
21011	6.5
21013	8.3
21015	3.5
21017	4.6
21019	8.3
21021	4.5
21023	5.4
21025	8.3
21027	5.7
21029	3.8
21031	4.8
21033	5.0
21035	4.1
21037	3.5
21039	6.8
21041	5.0
21043	10.6
21045	4.4
21047	6.0
21049	4.5
21051	9.7
21053	6.4
21055	5.2
21057	4.6
21059	4.0
21061	5.4
21063	11.7
21065	5.2
21067	3.3
21069	5.5
21071	10.4
21073	3.6
21075	6.6
21077	4.4
21079	4.3
21081	4.2
21083	6.4
21085	6.2
21087	4.0
21089	8.8
21091	4.7
21093	4.1
21095	11.6
21097	4.4
21099	4.4
21101	4.5
21103	3.9
21105	5.1
21107	5.5
21109	6.9
21111	4.2
21113	3.6
21115	9.2
21117	3.8
21119	10.5
21121	7.5
21123	3.9
21125	5.8
21127	10.6
21129	8.3
21131	13.2
21133	11.8
21135	8.4
21137	5.6
21139	6.7
21141	4.2
21143	5.6
21145	5.7
21147	7.3
21149	4.5
21151	3.8
21153	16.3
21155	4.3
21157	5.5
21159	9.0
21161	6.0
21163	4.7
21165	7.1
21167	4.4
21169	3.8
21171	3.6
21173	6.0
21175	6.8
21177	6.7
21179	4.3
21181	4.9
21183	6.3
21185	3.1
21187	3.8
21189	8.7
21191	4.3
21193	10.4
21195	10.3
21197	6.9
21199	5.0
21201	6.1
21203	5.3
21205	5.3
21207	7.6
21209	3.6
21211	3.3
21213	4.2
21215	3.5
21217	4.8
21219	3.9
21221	5.0
21223	5.4
21225	6.4
21227	3.5
21229	4.0
21231	6.8
21233	5.5
21235	6.4
21237	9.5
21239	3.0
22001	7.9
22003	7.5
22005	5.3
22007	9.0
22009	7.8
22011	6.7
22013	8.0
22015	5.9
22017	7.4
22019	5.5
22021	8.4
22023	4.8
